,0
0,
1,"(42.3794923571429, -71.0325166071429)"
2,"(42.3795167142857, -71.0324512142857)"
3,"(42.3795410714286, -71.0323858214286)"
4,"(42.3795654285714, -71.0323204285714)"
5,"(42.3795897857143, -71.0322550357143)"
6,"(42.37951895, -71.03215355)"
7,"(42.3795477, -71.0320763)"
8,"(42.3797115714286, -71.0319280714286)"
9,"(42.3405170595934, -71.0913117954614)"
10,"(42.3405170595934, -71.0913117954614)"
11,"(42.3405170595934, -71.0913117954614)"
12,"(42.3405170595934, -71.0913117954614)"
13,"(42.3405170595934, -71.0913117954614)"
14,"(42.3405103, -71.0912417176996)"
15,"(42.346373, -71.089401)"
16,"(42.3462, -71.089445)"
17,"(42.3461718, -71.089452)"
18,"(42.3461436, -71.089459)"
19,"(42.3461154, -71.089466)"
20,"(42.3460872, -71.089473)"
21,"(42.345548, -71.089622)"
22,"(42.345548, -71.089622)"
23,"(42.345548, -71.089622)"
24,"(42.345548, -71.089622)"
25,"(42.345548, -71.089622)"
26,"(42.345548, -71.089622)"
27,"(42.345548, -71.089622)"
28,"(42.345548, -71.089622)"
29,"(42.345548, -71.089622)"
30,"(42.345548, -71.089622)"
31,"(42.345548, -71.089622)"
32,"(42.345548, -71.089622)"
33,"(42.345548, -71.089622)"
34,"(42.345548, -71.089622)"
35,"(42.345548, -71.089622)"
36,"(42.345548, -71.089622)"
37,"(42.345548, -71.089622)"
38,"(42.345548, -71.089622)"
39,"(42.345548, -71.089622)"
40,"(42.345548, -71.089622)"
41,"(42.345548, -71.089622)"
42,"(42.345548, -71.089622)"
43,"(42.345548, -71.089622)"
44,"(42.345548, -71.089622)"
45,"(42.345548, -71.089622)"
46,"(42.345548, -71.089622)"
47,"(42.345548, -71.089622)"
48,"(42.3452706428571, -71.0897015714286)"
49,"(42.3452342857143, -71.0897121428571)"
50,"(42.3452342857143, -71.0897121428571)"
51,"(42.3452342857143, -71.0897121428571)"
52,"(42.3452342857143, -71.0897121428571)"
53,"(42.3451979285714, -71.0897227142857)"
54,"(42.3451252142857, -71.0897438571429)"
55,"(42.3451252142857, -71.0897438571429)"
56,"(42.3451252142857, -71.0897438571429)"
57,"(42.3451252142857, -71.0897438571429)"
58,"(42.3450888571429, -71.0897544285714)"
59,"(42.3451252142857, -71.0897438571429)"
60,"(42.3451252142857, -71.0897438571429)"
61,"(42.3451252142857, -71.0897438571429)"
62,"(42.3451252142857, -71.0897438571429)"
63,"(42.3450525, -71.089765)"
64,"(42.3450161428571, -71.0897755714286)"
65,"(42.3449797857143, -71.0897861428571)"
66,"(42.3449797857143, -71.0897861428571)"
67,"(42.3449797857143, -71.0897861428571)"
68,"(42.3449797857143, -71.0897861428571)"
69,"(42.3449797857143, -71.0897861428571)"
70,"(42.3449434285714, -71.0897967142857)"
71,"(42.3448707142857, -71.0898178571429)"
72,"(42.3448707142857, -71.0898178571429)"
73,"(42.3448707142857, -71.0898178571429)"
74,"(42.3448707142857, -71.0898178571429)"
75,"(42.3448707142857, -71.0898178571429)"
76,"(42.3448707142857, -71.0898178571429)"
77,"(42.3448707142857, -71.0898178571429)"
78,"(42.3448707142857, -71.0898178571429)"
79,"(42.3448707142857, -71.0898178571429)"
80,"(42.3448707142857, -71.0898178571429)"
81,"(42.3445544, -71.090021685427)"
82,"(42.343451, -71.0977164)"
83,"(42.343451, -71.0977164)"
84,"(42.343451, -71.0977164)"
85,"(42.343451, -71.0977164)"
86,"(42.343451, -71.0977164)"
87,"(42.343451, -71.0977164)"
88,"(42.343451, -71.0977164)"
89,"(42.343451, -71.0977164)"
90,"(42.343451, -71.0977164)"
91,"(42.343451, -71.0977164)"
92,"(42.343451, -71.0977164)"
93,"(42.343451, -71.0977164)"
94,"(42.343451, -71.0977164)"
95,"(42.343451, -71.0977164)"
96,"(42.343451, -71.0977164)"
97,"(42.343451, -71.0977164)"
98,"(42.343451, -71.0977164)"
99,"(42.343451, -71.0977164)"
100,"(42.343451, -71.0977164)"
101,"(42.343451, -71.0977164)"
102,"(42.343451, -71.0977164)"
103,"(42.343451, -71.0977164)"
104,"(42.343451, -71.0977164)"
105,"(42.343451, -71.0977164)"
106,"(42.343451, -71.0977164)"
107,"(42.343451, -71.0977164)"
108,"(42.343451, -71.0977164)"
109,"(42.343451, -71.0977164)"
110,"(42.343451, -71.0977164)"
111,"(42.343451, -71.0977164)"
112,"(42.343451, -71.0977164)"
113,"(42.343451, -71.0977164)"
