latbin,longbin,graffiti_count
0.0,14.0,1
1.0,13.0,1
1.0,14.0,5
1.0,15.0,1
1.0,16.0,1
2.0,13.0,5
2.0,14.0,8
2.0,15.0,1
3.0,14.0,2
3.0,15.0,5
3.0,17.0,1
4.0,15.0,3
4.0,16.0,1
4.0,18.0,1
5.0,12.0,1
5.0,14.0,3
5.0,15.0,10
5.0,16.0,1
5.0,18.0,1
6.0,15.0,9
6.0,16.0,9
6.0,17.0,7
6.0,18.0,7
6.0,20.0,1
7.0,6.0,1
7.0,16.0,5
7.0,17.0,32
7.0,18.0,28
8.0,5.0,1
8.0,7.0,16
8.0,9.0,3
8.0,10.0,1
8.0,14.0,2
8.0,17.0,1
8.0,18.0,3
8.0,19.0,9
8.0,20.0,1
8.0,22.0,1
8.0,24.0,2
9.0,4.0,2
9.0,6.0,2
9.0,7.0,5
9.0,10.0,4
9.0,16.0,3
9.0,17.0,11
9.0,18.0,3
9.0,21.0,6
9.0,23.0,6
9.0,24.0,2
10.0,5.0,1
10.0,9.0,5
10.0,18.0,24
10.0,22.0,1
10.0,24.0,3
10.0,25.0,21
10.0,26.0,19
11.0,3.0,3
11.0,18.0,17
11.0,20.0,1
11.0,23.0,1
11.0,24.0,3
11.0,25.0,49
11.0,26.0,25
11.0,31.0,1
11.0,32.0,13
11.0,33.0,5
11.0,34.0,6
12.0,3.0,7
12.0,5.0,1
12.0,15.0,1
12.0,17.0,1
12.0,18.0,12
12.0,21.0,1
12.0,22.0,1
12.0,25.0,1
12.0,26.0,12
12.0,31.0,7
12.0,32.0,1
12.0,33.0,8
12.0,34.0,5
13.0,0.0,1
13.0,4.0,1
13.0,5.0,8
13.0,8.0,1
13.0,12.0,3
13.0,13.0,5
13.0,14.0,2
13.0,15.0,2
13.0,16.0,1
13.0,18.0,7
13.0,19.0,4
13.0,25.0,1
13.0,26.0,8
13.0,27.0,3
13.0,29.0,2
13.0,31.0,3
13.0,33.0,6
13.0,34.0,6
13.0,35.0,1
14.0,1.0,2
14.0,3.0,1
14.0,5.0,15
14.0,6.0,11
14.0,7.0,11
14.0,12.0,1
14.0,13.0,18
14.0,14.0,28
14.0,15.0,5
14.0,16.0,4
14.0,17.0,4
14.0,18.0,117
14.0,19.0,5
14.0,26.0,11
14.0,27.0,3
14.0,28.0,7
14.0,29.0,7
14.0,30.0,3
14.0,32.0,18
14.0,33.0,1
14.0,34.0,14
14.0,35.0,6
14.0,37.0,1
15.0,2.0,8
15.0,6.0,2
15.0,7.0,16
15.0,8.0,2
15.0,13.0,4
15.0,14.0,16
15.0,15.0,22
15.0,16.0,23
15.0,17.0,15
15.0,18.0,89
15.0,19.0,3
15.0,20.0,5
15.0,21.0,12
15.0,25.0,2
15.0,26.0,6
15.0,27.0,6
15.0,28.0,2
15.0,29.0,8
15.0,30.0,5
15.0,31.0,1
15.0,32.0,36
15.0,33.0,11
15.0,34.0,63
15.0,36.0,2
15.0,37.0,5
15.0,38.0,5
15.0,39.0,1
15.0,41.0,3
16.0,8.0,3
16.0,9.0,11
16.0,10.0,8
16.0,11.0,8
16.0,12.0,36
16.0,13.0,37
16.0,14.0,35
16.0,15.0,138
16.0,16.0,44
16.0,17.0,17
16.0,18.0,66
16.0,19.0,3
16.0,20.0,2
16.0,21.0,13
16.0,22.0,2
16.0,25.0,1
16.0,26.0,2
16.0,27.0,5
16.0,29.0,4
16.0,30.0,11
16.0,31.0,4
16.0,32.0,16
16.0,33.0,1
16.0,34.0,27
16.0,35.0,3
16.0,37.0,7
16.0,38.0,2
16.0,39.0,1
16.0,40.0,9
16.0,41.0,2
16.0,42.0,5
17.0,5.0,1
17.0,8.0,2
17.0,14.0,8
17.0,15.0,3
17.0,16.0,4
17.0,17.0,15
17.0,18.0,32
17.0,19.0,43
17.0,27.0,4
17.0,28.0,1
17.0,30.0,6
17.0,31.0,5
17.0,32.0,38
17.0,33.0,2
17.0,34.0,21
17.0,35.0,17
17.0,36.0,4
17.0,39.0,3
17.0,40.0,2
17.0,41.0,1
18.0,7.0,1
18.0,8.0,5
18.0,11.0,1
18.0,13.0,8
18.0,16.0,3
18.0,17.0,23
18.0,18.0,25
18.0,19.0,129
18.0,20.0,1
18.0,27.0,3
18.0,28.0,2
18.0,29.0,7
18.0,30.0,4
18.0,31.0,1
18.0,32.0,15
18.0,33.0,4
18.0,34.0,13
18.0,35.0,14
18.0,36.0,5
18.0,37.0,13
18.0,38.0,7
18.0,39.0,2
18.0,41.0,1
19.0,13.0,2
19.0,14.0,1
19.0,15.0,2
19.0,18.0,6
19.0,19.0,89
19.0,20.0,45
19.0,26.0,1
19.0,27.0,6
19.0,28.0,3
19.0,29.0,5
19.0,30.0,11
19.0,31.0,3
19.0,32.0,14
19.0,34.0,15
19.0,35.0,33
19.0,36.0,4
19.0,37.0,7
19.0,38.0,7
19.0,39.0,2
20.0,15.0,1
20.0,18.0,3
20.0,19.0,10
20.0,20.0,202
20.0,21.0,1
20.0,22.0,19
20.0,28.0,17
20.0,29.0,12
20.0,30.0,6
20.0,31.0,14
20.0,32.0,9
20.0,33.0,5
20.0,34.0,16
20.0,35.0,102
20.0,36.0,96
20.0,37.0,17
20.0,38.0,5
21.0,19.0,71
21.0,20.0,128
21.0,21.0,22
21.0,22.0,9
21.0,23.0,7
21.0,28.0,27
21.0,29.0,3
21.0,30.0,33
21.0,31.0,5
21.0,32.0,4
21.0,33.0,6
21.0,34.0,5
21.0,35.0,23
21.0,36.0,38
21.0,37.0,8
21.0,38.0,1
22.0,17.0,2
22.0,18.0,8
22.0,19.0,170
22.0,20.0,54
22.0,21.0,64
22.0,22.0,58
22.0,23.0,5
22.0,24.0,6
22.0,26.0,1
22.0,27.0,2
22.0,28.0,5
22.0,29.0,17
22.0,30.0,26
22.0,31.0,15
22.0,32.0,7
22.0,33.0,13
22.0,34.0,20
22.0,35.0,6
22.0,36.0,17
22.0,37.0,1
22.0,38.0,10
22.0,39.0,12
23.0,17.0,2
23.0,18.0,2
23.0,19.0,71
23.0,20.0,55
23.0,21.0,47
23.0,22.0,107
23.0,23.0,27
23.0,24.0,5
23.0,25.0,13
23.0,26.0,25
23.0,27.0,2
23.0,28.0,5
23.0,29.0,34
23.0,30.0,24
23.0,31.0,11
23.0,32.0,12
23.0,33.0,11
23.0,34.0,1
23.0,35.0,6
23.0,36.0,65
23.0,37.0,36
23.0,38.0,15
23.0,39.0,12
23.0,40.0,1
24.0,18.0,5
24.0,19.0,5
24.0,20.0,126
24.0,21.0,2
24.0,22.0,54
24.0,23.0,103
24.0,24.0,120
24.0,25.0,16
24.0,26.0,9
24.0,27.0,10
24.0,28.0,3
24.0,29.0,8
24.0,30.0,7
24.0,31.0,2
24.0,33.0,15
24.0,34.0,21
24.0,35.0,13
24.0,36.0,53
24.0,37.0,18
24.0,38.0,5
24.0,39.0,2
24.0,42.0,1
25.0,19.0,18
25.0,20.0,59
25.0,21.0,18
25.0,22.0,42
25.0,23.0,72
25.0,24.0,30
25.0,25.0,50
25.0,26.0,4
25.0,27.0,8
25.0,28.0,12
25.0,29.0,13
25.0,30.0,22
25.0,31.0,7
25.0,33.0,13
25.0,34.0,60
25.0,35.0,5
25.0,36.0,30
25.0,37.0,29
25.0,38.0,30
25.0,40.0,3
25.0,42.0,1
25.0,43.0,1
26.0,17.0,6
26.0,18.0,7
26.0,19.0,17
26.0,20.0,72
26.0,21.0,110
26.0,22.0,20
26.0,23.0,15
26.0,24.0,94
