latbin,longbin,light_count
0.0,10.0,2
0.0,11.0,3
0.0,12.0,2
0.0,13.0,2
1.0,9.0,10
1.0,10.0,50
1.0,11.0,42
1.0,12.0,8
2.0,10.0,23
2.0,11.0,45
2.0,12.0,8
2.0,13.0,3
3.0,8.0,1
3.0,10.0,9
3.0,11.0,20
3.0,12.0,68
3.0,13.0,4
3.0,14.0,1
4.0,10.0,70
4.0,11.0,26
4.0,12.0,38
4.0,14.0,3
4.0,16.0,6
5.0,9.0,1
5.0,10.0,11
5.0,11.0,7
5.0,12.0,72
5.0,13.0,20
5.0,14.0,5
5.0,15.0,5
6.0,8.0,58
6.0,9.0,18
6.0,10.0,15
6.0,11.0,6
6.0,12.0,86
6.0,13.0,75
6.0,14.0,20
6.0,15.0,2
6.0,16.0,13
7.0,4.0,2
7.0,5.0,6
7.0,7.0,48
7.0,8.0,84
7.0,9.0,24
7.0,10.0,21
7.0,11.0,12
7.0,12.0,7
7.0,13.0,94
7.0,14.0,6
7.0,15.0,1
8.0,5.0,23
8.0,6.0,21
8.0,7.0,28
8.0,8.0,19
8.0,9.0,8
8.0,12.0,2
8.0,13.0,35
8.0,14.0,14
8.0,15.0,17
8.0,16.0,72
8.0,17.0,12
9.0,2.0,7
9.0,3.0,51
9.0,4.0,2
9.0,5.0,11
9.0,6.0,15
9.0,7.0,7
9.0,8.0,12
9.0,9.0,6
9.0,12.0,3
9.0,13.0,31
9.0,14.0,7
9.0,15.0,22
9.0,16.0,8
9.0,17.0,26
9.0,18.0,9
9.0,19.0,1
10.0,2.0,30
10.0,3.0,29
10.0,7.0,18
10.0,8.0,3
10.0,13.0,39
10.0,14.0,1
10.0,15.0,2
10.0,17.0,6
10.0,18.0,7
10.0,19.0,116
10.0,20.0,9
10.0,21.0,8
11.0,2.0,48
11.0,5.0,1
11.0,8.0,3
11.0,9.0,1
11.0,10.0,11
11.0,12.0,5
11.0,13.0,62
11.0,14.0,6
11.0,15.0,41
11.0,16.0,15
11.0,17.0,9
11.0,18.0,13
11.0,19.0,96
11.0,20.0,32
11.0,21.0,50
11.0,22.0,71
11.0,23.0,27
11.0,24.0,80
11.0,25.0,75
11.0,26.0,19
11.0,27.0,1
12.0,2.0,103
12.0,3.0,13
12.0,4.0,7
12.0,5.0,13
12.0,6.0,5
12.0,7.0,7
12.0,8.0,5
12.0,9.0,57
12.0,10.0,43
12.0,12.0,5
12.0,13.0,95
12.0,14.0,36
12.0,15.0,19
12.0,16.0,32
12.0,17.0,9
12.0,18.0,17
12.0,19.0,84
12.0,20.0,23
12.0,21.0,61
12.0,22.0,56
12.0,23.0,9
12.0,24.0,29
12.0,25.0,67
12.0,26.0,25
12.0,28.0,1
13.0,0.0,22
13.0,1.0,30
13.0,2.0,95
13.0,3.0,44
13.0,4.0,28
13.0,5.0,23
13.0,6.0,19
13.0,7.0,14
13.0,8.0,24
13.0,9.0,29
13.0,10.0,67
13.0,11.0,4
13.0,12.0,2
13.0,13.0,48
13.0,14.0,83
13.0,15.0,10
13.0,17.0,6
13.0,18.0,20
13.0,19.0,77
13.0,20.0,74
13.0,21.0,46
13.0,22.0,31
13.0,23.0,26
13.0,24.0,57
13.0,25.0,78
13.0,26.0,26
13.0,27.0,9
13.0,28.0,9
13.0,29.0,24
14.0,0.0,1
14.0,1.0,32
14.0,2.0,53
14.0,3.0,7
14.0,4.0,3
14.0,5.0,71
14.0,6.0,45
14.0,7.0,20
14.0,8.0,43
14.0,9.0,22
14.0,10.0,19
14.0,11.0,19
14.0,12.0,1
14.0,13.0,57
14.0,14.0,32
14.0,15.0,19
14.0,18.0,21
14.0,19.0,103
14.0,20.0,110
14.0,21.0,87
14.0,22.0,21
14.0,23.0,62
14.0,24.0,54
14.0,25.0,63
14.0,26.0,37
14.0,27.0,56
14.0,28.0,24
14.0,29.0,28
14.0,30.0,4
15.0,2.0,35
15.0,3.0,4
15.0,4.0,4
15.0,5.0,56
15.0,6.0,101
15.0,7.0,41
15.0,8.0,66
15.0,9.0,35
15.0,10.0,20
15.0,11.0,94
15.0,12.0,83
15.0,13.0,12
15.0,14.0,12
15.0,15.0,48
15.0,16.0,23
15.0,17.0,42
15.0,18.0,22
15.0,19.0,57
15.0,20.0,138
15.0,21.0,88
15.0,22.0,72
15.0,23.0,60
15.0,24.0,60
15.0,25.0,58
15.0,26.0,91
15.0,27.0,85
15.0,28.0,44
15.0,29.0,61
15.0,30.0,103
15.0,31.0,22
16.0,2.0,22
16.0,3.0,16
16.0,4.0,17
16.0,5.0,43
16.0,6.0,46
16.0,7.0,87
16.0,8.0,45
16.0,9.0,48
16.0,10.0,80
16.0,11.0,127
16.0,12.0,87
16.0,13.0,29
16.0,14.0,54
16.0,15.0,4
16.0,16.0,26
16.0,17.0,34
16.0,18.0,14
16.0,19.0,119
16.0,20.0,110
16.0,21.0,54
16.0,22.0,44
16.0,23.0,92
16.0,24.0,134
16.0,25.0,81
16.0,26.0,90
16.0,27.0,59
16.0,28.0,34
16.0,29.0,63
16.0,30.0,100
16.0,31.0,1
17.0,2.0,1
17.0,3.0,34
