latbin4,longbin4,graffiti_count
1.0,15.0,1
3.0,16.0,4
3.0,17.0,2
4.0,15.0,4
4.0,16.0,9
5.0,14.0,2
5.0,15.0,2
5.0,16.0,3
6.0,16.0,2
6.0,17.0,1
6.0,18.0,1
7.0,17.0,3
7.0,18.0,1
7.0,19.0,1
8.0,14.0,1
8.0,16.0,9
8.0,17.0,2
9.0,16.0,7
9.0,17.0,5
9.0,18.0,8
9.0,19.0,4
9.0,20.0,2
9.0,21.0,1
10.0,17.0,2
10.0,18.0,21
10.0,19.0,20
11.0,8.0,1
11.0,18.0,13
11.0,19.0,20
11.0,20.0,4
12.0,8.0,1
12.0,9.0,16
12.0,11.0,3
12.0,12.0,1
12.0,16.0,2
12.0,20.0,1
12.0,21.0,8
13.0,8.0,2
13.0,9.0,5
13.0,12.0,4
13.0,18.0,2
13.0,19.0,11
13.0,20.0,1
13.0,22.0,6
13.0,23.0,1
13.0,24.0,8
14.0,6.0,2
14.0,7.0,1
14.0,11.0,1
14.0,17.0,2
14.0,19.0,13
14.0,20.0,2
14.0,23.0,1
14.0,25.0,10
14.0,26.0,2
15.0,6.0,2
15.0,11.0,4
15.0,19.0,18
15.0,25.0,3
15.0,26.0,46
15.0,27.0,2
16.0,5.0,7
16.0,19.0,10
16.0,21.0,1
16.0,24.0,1
16.0,25.0,18
16.0,26.0,44
16.0,27.0,2
16.0,32.0,14
16.0,33.0,5
16.0,34.0,8
17.0,5.0,1
17.0,7.0,1
17.0,17.0,1
17.0,18.0,1
17.0,19.0,11
17.0,22.0,1
17.0,23.0,1
17.0,26.0,8
17.0,31.0,5
17.0,32.0,3
17.0,33.0,8
17.0,34.0,3
18.0,7.0,7
18.0,8.0,1
18.0,10.0,1
18.0,14.0,3
18.0,15.0,1
18.0,16.0,1
18.0,17.0,3
18.0,19.0,7
18.0,20.0,2
18.0,21.0,2
18.0,26.0,4
18.0,27.0,2
18.0,28.0,1
18.0,29.0,2
18.0,33.0,5
18.0,34.0,3
19.0,2.0,1
19.0,4.0,1
19.0,5.0,1
19.0,7.0,14
19.0,8.0,6
19.0,9.0,2
19.0,14.0,1
19.0,15.0,19
19.0,16.0,1
19.0,19.0,85
19.0,20.0,24
19.0,26.0,5
19.0,27.0,9
19.0,28.0,1
19.0,29.0,4
19.0,31.0,2
19.0,32.0,2
19.0,33.0,2
19.0,34.0,11
19.0,35.0,1
19.0,37.0,1
20.0,4.0,9
20.0,8.0,5
20.0,9.0,13
20.0,14.0,1
20.0,15.0,14
20.0,16.0,33
20.0,17.0,9
20.0,18.0,15
20.0,19.0,20
20.0,20.0,5
20.0,21.0,4
20.0,27.0,5
20.0,28.0,1
20.0,29.0,12
20.0,30.0,10
20.0,32.0,31
20.0,33.0,1
20.0,34.0,35
20.0,35.0,6
20.0,36.0,2
20.0,37.0,1
21.0,9.0,12
21.0,10.0,6
21.0,12.0,1
21.0,16.0,13
21.0,17.0,49
21.0,18.0,21
21.0,19.0,93
21.0,20.0,34
21.0,21.0,2
21.0,22.0,24
21.0,26.0,2
21.0,27.0,13
21.0,29.0,5
21.0,32.0,17
21.0,33.0,16
21.0,34.0,38
21.0,37.0,5
21.0,38.0,5
21.0,40.0,1
21.0,41.0,4
22.0,10.0,3
22.0,11.0,12
22.0,12.0,9
22.0,13.0,5
22.0,14.0,45
22.0,15.0,33
22.0,16.0,72
22.0,17.0,94
22.0,18.0,11
22.0,19.0,12
22.0,20.0,20
22.0,21.0,2
22.0,22.0,1
22.0,23.0,2
22.0,26.0,2
22.0,27.0,4
22.0,29.0,3
22.0,30.0,7
22.0,31.0,7
22.0,32.0,7
22.0,34.0,24
22.0,35.0,2
22.0,37.0,9
22.0,39.0,1
22.0,40.0,9
22.0,41.0,4
23.0,7.0,1
23.0,10.0,2
23.0,15.0,17
23.0,17.0,5
23.0,18.0,7
23.0,19.0,3
23.0,20.0,33
23.0,27.0,3
23.0,28.0,2
23.0,31.0,5
23.0,32.0,31
23.0,33.0,2
23.0,34.0,17
23.0,35.0,18
23.0,36.0,4
23.0,39.0,4
24.0,9.0,1
24.0,10.0,3
24.0,15.0,8
24.0,17.0,3
24.0,18.0,4
24.0,19.0,31
24.0,20.0,131
24.0,28.0,1
24.0,29.0,1
24.0,30.0,3
24.0,31.0,9
24.0,32.0,19
24.0,33.0,2
24.0,34.0,13
24.0,35.0,10
24.0,38.0,5
24.0,39.0,2
24.0,40.0,2
25.0,10.0,2
25.0,13.0,1
25.0,17.0,2
25.0,19.0,17
25.0,20.0,107
25.0,21.0,4
25.0,28.0,7
25.0,29.0,7
25.0,30.0,10
25.0,31.0,3
25.0,32.0,21
25.0,33.0,3
25.0,34.0,5
25.0,35.0,11
25.0,36.0,16
25.0,37.0,14
