Zipcode,Population density (per square mile of land area)
1001,1465.5
1002,527.8
1003,14580.8
1005,114.8
1007,278.3
1008,23.5
1009,929.4
1010,103.9
1011,43.3
1012,50.4
1013,4122.8
1020,2378.3
1022,515.2
1026,39.4
1027,436
1028,1208.6
1029,49.8
1030,983.3
1031,161.6
1032,48.4
1033,223.8
1034,28.3
1035,227.4
1036,261.9
1037,63.1
1038,254.6
1039,101.2
1040,1874
1050,66
1053,328.4
1054,81.2
1056,775.7
1057,190
1060,1399.9
1062,614.2
1063,11081.3
1066,90.1
1068,91.3
1069,301.8
1070,30.6
1071,102.4
1072,73.6
1073,205.7
1074,3742.7
1075,989.2
1077,308.3
1079,613.4
1080,1351.3
1081,117.1
1082,223.9
1083,183
1084,19.1
1085,685.9
1086,18505.3
1088,128.8
1089,1698.7
1092,208
1093,64.4
1094,309
1095,633.2
1096,70
1097,65
1098,35.1
1103,5386.4
1104,4383.6
1105,9936.6
1106,1722.4
1107,7703.4
1108,7167.9
1109,5558.5
1118,3913.5
1119,3986.5
1128,2355.5
1129,2050
1151,3672.4
1199,0
1201,878.8
1220,349.8
1222,250.7
1223,33.2
1224,654.2
1225,124.2
1226,263.3
1229,129.7
1230,92.1
1235,60.6
1236,314.2
1237,40.4
1238,173.6
1240,212.1
1242,956.9
1243,17.9
1244,61.6
1245,35.2
1247,306.3
1253,40
1254,66.8
1255,17.7
1256,19.3
1257,58.5
1258,14.5
1259,25.1
1260,95.6
1262,102.9
1264,12.1
1266,56.2
1267,146.4
1270,24.4
1301,694.4
1330,45.2
1331,249.2
1337,69.7
1338,54.1
1339,26.2
1340,38.5
1341,51.4
1342,83.7
1343,15.4
1344,109.9
1346,25.4
1347,287.5
1349,142.2
1350,11.3
1351,108.5
1354,109
1355,18.5
1360,88.4
1364,203.1
1366,31.6
1367,19.7
1368,30.1
1370,82
1373,190.4
1375,258.9
1376,1900.7
1378,22.8
1379,26.9
1420,1330.5
1430,164.6
1431,129.7
1432,838.8
1434,339.9
1436,347.7
1438,1031.6
1440,846.3
1450,324.9
1451,248.1
1452,106.7
1453,1436
1460,540.1
1462,380.9
1463,508.7
1464,480.3
1467,166.7
1468,187.9
1469,297.2
1473,205.4
1474,214.2
1475,239.7
1501,1040.4
1503,220.9
1504,815
1505,271.1
1506,218
1507,307.7
1510,2406.1
1515,221.6
1516,231.2
1518,335.2
1519,604.4
1520,774.1
1521,201.8
1522,202.1
1523,300.9
1524,419.2
1525,646.1
1527,850.8
1529,650.2
1531,48.1
1532,766.1
1534,643
1535,220
1536,826
1537,321.9
1540,583.4
1541,96.4
1542,547
1543,227.1
1545,1702.1
1550,824.6
1560,1269.1
1561,2677
1562,356
1564,254.9
1566,222
1568,348.9
1569,466.6
1570,1355
1571,547.1
1581,887.7
1583,601.8
1585,178.2
1588,1130.6
1590,277.3
1602,3956.7
1603,4411.8
1604,5385.2
1605,4647.5
1606,3217.2
1607,2637.9
1608,8687.6
1609,5869.5
1610,11263.7
1611,651.3
1612,316.3
1701,1840.8
1702,4598
1718,10008.5
1719,485.7
1720,1083.6
1721,1345.8
1730,965.2
1731,1764
1740,245.4
1741,317.9
1742,725.3
1745,994.9
1746,726.6
1747,1143.1
1748,568.3
1749,1654.5
1752,1845.1
1754,1938.5
1756,328.5
1757,1885.9
1760,2213.7
1770,260.4
1772,688.2
1773,375.4
1775,380.6
1776,728.5
1778,862
1801,3074.8
1803,2093.7
1810,1076.3
1821,1829.4
1824,1403.7
1826,1426.4
1827,193.2
1830,1821.8
1832,1942
1833,636.3
1834,727.1
1835,1751.2
1840,9499.6
1841,15288.6
1843,7249.4
1844,2126.6
1845,1077.8
1850,11205.7
1851,9044.2
1852,6764.9
1854,7018.1
1860,749.3
1862,1106.7
1863,1923.2
1864,1133.3
